deu_2012,xbnl_2012,xfra_2012
76077800,28064500,81239600
77325700,29102900,81957600
78741600,29487500,82051900
80024100,29898100,82880800
79714700,29655300,82729600
78947500,29779300,81601000
77474100,29411300,79713300
76390600,29113400,78539500
74810300,29051900,78389300
80794700,30082700,81755200
79319000,30147000,86591600
77536200,29119700,83471200
73687700,27626000,78839100
70302700,26060400,74634300
68323200,25137800,76925800
63609800,24100700,75217700
60506600,22337100,70822400
58230400,21168200,70752700
57020400,20434900,68696900
56957100,20095000,66608800
57492000,20160800,66905400
60033900,21157100,70773300
67689500,24094000,77421800
75304900,28047200,82275800
77123300,29865800,82445700
77629400,30671700,83182400
78443700,30931600,83507500
79006200,30999000,84215700
78466700,30219800,83985800
77728300,30093000,82837600
76426300,29806100,81304400
75088600,29703600,80308500
74015500,29720100,80465600
77847900,31045600,83581200
80250700,32182500,88518700
78622000,31260700,85519000
75149600,29696700,81199300
71961300,28069500,77086900
69945000,27186300,79786900
65699700,25936200,77966900
62709200,24246900,73825000
60586000,22946300,74729600
59112600,22457700,72807400
58703100,21954100,70685900
59152800,21827900,71326300
61715400,22589900,74825800
69241100,25318900,81469400
76525200,28998800,85816600
78057300,30605100,87343000
78495500,31291000,87839000
79526000,31327400,87462800
80484100,31387000,87852700
79790600,30913100,87040500
78748500,30967000,85384500
77401600,30670300,83413200
76383700,30710900,82366200
74872400,30566900,82651000
78712900,31688200,86702600
81744700,32655400,93213600
79974600,31934200,90338700
75825900,30522200,86120100
72293700,28919300,81975300
69925400,28030900,84530000
66887800,26902200,83208900
64763400,25079900,79269300
62472300,23866600,80716100
60933300,23168500,78898000
60104000,22748200,76620300
60557200,22718200,76513300
63574100,23447000,80271200
70941100,26015500,86987400
78718600,29848200,90964300
80399000,31194100,91246200
80761300,31964300,91540900
81886200,32091900,90889700
82641900,32066400,91024300
82125500,31609400,90195300
81780400,31543400,88283900
80885600,31269200,86405000
79789400,31008500,85251900
78308000,30702200,85332400
81002900,31639100,89156100
83137600,32828000,94615200
81925300,32096400,92854100
78534600,30757100,88440100
75546400,29129500,84850200
74102900,28044500,87292900
70588000,26927900,85737100
67490500,25258900,82063700
65159100,24015800,84013300
62959900,23067000,82320000
61556700,22545900,80329100
61679800,22509300,80459700
64380400,23132500,84279500
71995800,25684300,89816200
79034900,29121600,94170200
80525600,30487600,94198700
81327200,31488300,94340200
83008800,31719000,92787300
83651800,31980800,92345300
83148000,31890200,91296300
82007000,31988000,88476400
80104600,31715800,85972800
78352800,31361900,84526000
76830000,30735900,84826600
80044800,31205500,88587400
81840200,31964400,94449200
80418600,31172500,92277500
76491900,29783700,88549100
73272500,28236800,85124200
73128700,27755500,88081600
70399300,26904200,86844000
67145500,25060100,82560700
64647300,23770000,83886600
62166300,22846900,81432100
60351300,22156200,78670200
59099900,21879900,77800900
57879600,21808000,78838100
56500500,22427600,80907600
59834900,23471300,83460400
64180300,25070900,86512000
68639500,27157100,88318300
71809500,28079200,87776100
72631800,28207600,87323300
71563300,27848600,87611100
69041000,27117200,83826700
67213300,26629900,81142400
66262100,26343400,79417600
65672100,26479400,79752600
69828800,27917600,83692100
72968800,29672700,89734600
71155000,29102000,88602200
67170800,28010100,85660500
65771000,26794300,83293400
67163900,26589500,86688800
64786400,26005600,86671200
62421600,24436300,83273700
60045400,23245700,82861200
58206200,22318200,80496100
56272800,21677200,77639800
55014500,21170600,76214700
53372000,21184800,76262800
50605800,21386200,76939500
52114800,21845100,77903100
56047300,22684600,80411600
60637700,24497500,83023300
63876600,25550900,84792200
66632500,26065500,85603500
65730700,26171600,86335200
